TIME;ACC[ROLL];GYRO[ROLL];ANGLE[ROLL];TARGET_ANGLE[ROLL];FRAME_ANGLE[ROLL];POWER[ROLL];ACC[PITCH];GYRO[PITCH];ANGLE[PITCH];TARGET_ANGLE[PITCH];FRAME_ANGLE[PITCH];POWER[PITCH];ACC[YAW];GYRO[YAW];ANGLE[YAW];TARGET_ANGLE[YAW];FRAME_ANGLE[YAW];POWER[YAW];RC_ROLL;RC_PITCH;RC_YAW;RC_CMD;EXT_FC_ROLL;EXT_FC_PITCH;BAT_VOLTAGE;RMS_ERR[ROLL];FREQ[ROLL];RMS_ERR[PITCH];FREQ[PITCH];RMS_ERR[YAW];FREQ[YAW]
02:06:01.821;-79;-11;-8.723145;0.0;-8.745117;0;-7;23;-1.3623047;0.0;-1.9555664;0;502;1;8.217773;0.0;0.0;0;;;;;;;0;0;0;0;0;0;0
02:06:01.999;-84;-3;-8.76709;0.0;-8.7890625;0;-7;5;-1.3842773;0.0;-1.9995117;0;508;0;8.217773;0.0;0.0;0;;;;;;;0;0;0;0;0;0;0
02:06:02.58;-77;0;-8.76709;0.0;-8.76709;0;-3;4;-1.3842773;0.0;-1.9995117;0;506;0;8.217773;0.0;0.0;0;;;;;;;0;3;56;2;70;0;203
02:06:02.108;-82;4;-8.745117;0.0;-8.76709;0;-6;-4;-1.3842773;0.0;-1.9995117;0;508;1;8.217773;0.0;0.0;0;;;;;;;0;4;55;2;69;0;212
02:06:02.155;-82;-4;-8.745117;0.0;-8.76709;0;-5;12;-1.3842773;0.0;-1.9995117;0;509;0;8.217773;0.0;0.0;0;;;;;;;0;7;56;4;67;0;223
02:06:02.213;-80;3;-8.723145;0.0;-8.745117;0;-5;1;-1.3842773;0.0;-1.9775391;0;508;0;8.217773;0.0;0.0;0;;;;;;;0;5;55;2;65;0;218
02:06:02.259;-83;6;-8.723145;0.0;-8.745117;0;-5;-11;-1.3842773;0.0;-1.9775391;0;508;-1;8.217773;0.0;0.0;0;;;;;;;0;2;56;2;68;1;217
02:06:02.316;-83;2;-8.745117;0.0;-8.745117;0;-5;-4;-1.3842773;0.0;-1.9775391;0;510;0;8.217773;0.0;0.0;0;;;;;;;0;5;55;3;66;0;207
02:06:02.362;-80;2;-8.745117;0.0;-8.745117;0;-5;0;-1.3842773;0.0;-1.9775391;0;510;0;8.217773;0.0;0.0;0;;;;;;;0;3;55;2;65;0;198
02:06:02.415;-82;0;-8.745117;0.0;-8.76709;0;-5;3;-1.3842773;0.0;-1.9995117;0;508;0;8.217773;0.0;0.0;0;;;;;;;0;2;55;1;70;0;209
02:06:02.461;-80;0;-8.76709;0.0;-8.76709;0;-5;1;-1.3842773;0.0;-1.9995117;0;507;0;8.217773;0.0;0.0;0;;;;;;;0;2;54;1;71;0;195
02:06:02.516;-82;11;-8.745117;0.0;-8.76709;0;-4;-16;-1.3842773;0.0;-1.9995117;0;510;0;8.217773;0.0;0.0;0;;;;;;;0;5;54;3;69;1;208
02:06:02.564;-79;-6;-8.76709;0.0;-8.76709;0;-5;14;-1.40625;0.0;-1.9995117;0;510;0;8.217773;0.0;0.0;0;;;;;;;0;8;54;5;68;0;208
02:06:02.621;-80;-2;-8.76709;0.0;-8.76709;0;-7;6;-1.40625;0.0;-1.9995117;0;512;0;8.217773;0.0;0.0;0;;;;;;;0;8;54;4;66;0;194
02:06:02.670;-82;1;-8.745117;0.0;-8.76709;0;-7;-3;-1.3842773;0.0;-1.9995117;0;510;-1;8.217773;0.0;0.0;0;;;;;;;0;7;54;4;65;1;195
02:06:02.725;-81;2;-8.745117;0.0;-8.76709;0;-7;-5;-1.3842773;0.0;-1.9995117;0;508;0;8.217773;0.0;0.0;0;;;;;;;0;4;53;3;64;0;186
02:06:02.775;-77;-12;-8.745117;0.0;-8.76709;0;-6;23;-1.40625;0.0;-1.9995117;0;503;1;8.217773;0.0;0.0;0;;;;;;;0;5;53;2;63;0;207
02:06:02.827;-82;-3;-8.745117;0.0;-8.745117;0;-4;8;-1.3842773;0.0;-1.9995117;0;506;2;8.217773;0.0;0.0;0;;;;;;;0;12;53;6;62;0;216
02:06:02.876;-80;6;-8.745117;0.0;-8.745117;0;-5;-7;-1.3842773;0.0;-1.9995117;0;506;0;8.217773;0.0;0.0;0;;;;;;;0;6;52;4;62;1;240
02:06:02.923;-80;0;-8.745117;0.0;-8.745117;0;-8;-1;-1.40625;0.0;-1.9995117;0;506;-1;8.217773;0.0;0.0;0;;;;;;;0;5;53;2;61;1;226
